name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Strasbourg,Strasbourg,9848,https://www.fotmob.com/teams/9848/overview/strasbourg,https://images.fotmob.com/image_resources/logo/teamlogo/9848.png,2026/2027,53,Ligue 1,FRA,Stade de la Meinau,Strasbourg,48.560068724,7.755156755,Grass,32047,1906,https://cdn.resfu.com/img_data/estadios/original_new/312.jpg?size=720x432c&lossy=1
Toulouse,Toulouse,9941,https://www.fotmob.com/teams/9941/overview/toulouse,https://images.fotmob.com/image_resources/logo/teamlogo/9941.png,2026/2027,53,Ligue 1,FRA,Stadium de Toulouse,Toulouse,43.583289762,1.434037685,Grass,33150,1937,https://cdn.resfu.com/img_data/estadios/original_new/165.jpg?size=720x432c&lossy=1
Troyes,Troyes,10242,https://www.fotmob.com/teams/10242/overview/troyes,https://images.fotmob.com/image_resources/logo/teamlogo/10242.png,2026/2027,53,Ligue 1,FRA,Stade de l'Aube,Troyes,48.307532778,4.098485112,Grass,21877,1924,https://cdn.resfu.com/img_data/estadios/original_new/651.jpg?size=720x&lossy=1
Augsburg,Augsburg,8406,https://www.fotmob.com/teams/8406/overview/augsburg,https://images.fotmob.com/image_resources/logo/teamlogo/8406.png,2026/2027,54,Bundesliga,GER,WWK Arena,Augsburg,48.323101360,10.885949135,Grass,30662,2009,https://cdn.resfu.com/img_data/estadios/original_new/146.jpg?size=720x432c&lossy=1
Bayer Leverkusen,Leverkusen,8178,https://www.fotmob.com/teams/8178/overview/bayer-leverkusen,https://images.fotmob.com/image_resources/logo/teamlogo/8178.png,2026/2027,54,Bundesliga,GER,BayArena,Leverkusen,51.038213121,7.002249956,Grass,30210,1958,https://cdn.resfu.com/img_data/estadios/original_new/66.jpg?size=720x432c&lossy=1
Bayern München,Bayern München,9823,https://www.fotmob.com/teams/9823/overview/bayern-munchen,https://images.fotmob.com/image_resources/logo/teamlogo/9823.png,2026/2027,54,Bundesliga,GER,Allianz Arena,München,48.218779054,11.624743491,Grass,75024,2005,https://cdn.resfu.com/img_data/estadios/original_new/45.jpg?size=720x432c&lossy=1
Borussia Dortmund,Dortmund,9789,https://www.fotmob.com/teams/9789/overview/borussia-dortmund,https://images.fotmob.com/image_resources/logo/teamlogo/9789.png,2026/2027,54,Bundesliga,GER,SIGNAL IDUNA PARK,Dortmund,51.492606578,7.451777458,Grass,81365,1974,https://cdn.resfu.com/img_data/estadios/original_new/47.jpg?size=720x432c&lossy=1
Borussia Mönchengladbach,M'gladbach,9788,https://www.fotmob.com/teams/9788/overview/borussia-monchengladbach,https://images.fotmob.com/image_resources/logo/teamlogo/9788.png,2026/2027,54,Bundesliga,GER,ista-Borussia-Park,Mönchengladbach,51.174648171,6.385320425,Grass,54057,2004,https://cdn.resfu.com/img_data/estadios/original_new/88.jpg?size=720x432c&lossy=1
Eintracht Frankfurt,Frankfurt,9810,https://www.fotmob.com/teams/9810/overview/eintracht-frankfurt,https://images.fotmob.com/image_resources/logo/teamlogo/9810.png,2026/2027,54,Bundesliga,GER,Deutsche Bank Park,Frankfurt am Main,50.068577360,8.645448312,Grass,59500,2005,https://cdn.resfu.com/img_data/estadios/original_new/69.jpg?size=720x432c&lossy=1
Elversberg,Elversberg,8232,https://www.fotmob.com/teams/8232/overview/elversberg,https://images.fotmob.com/image_resources/logo/teamlogo/8232.png,2026/2027,54,Bundesliga,GER,URSAPHARM-Arena an der Kaiserlinde,Spiesen-Elversberg,49.318814181,7.121704817,Grass,11150,1925,https://cdn.resfu.com/img_data/estadios/original_new/2234.jpg?size=720x432c&lossy=1
1. FC Köln,Köln,8722,https://www.fotmob.com/teams/8722/overview/1-fc-koln,https://images.fotmob.com/image_resources/logo/teamlogo/8722.png,2026/2027,54,Bundesliga,GER,RheinEnergieSTADION,Köln,50.933476533,6.875199080,Grass,50076,2004,https://cdn.resfu.com/img_data/estadios/original_new/133.jpg?size=720x432c&lossy=1
Freiburg,Freiburg,8358,https://www.fotmob.com/teams/8358/overview/freiburg,https://images.fotmob.com/image_resources/logo/teamlogo/8358.png,2026/2027,54,Bundesliga,GER,Europa-Park Stadion,Freiburg im Breisgau,48.021945037,7.830065164,Grass,34700,2021,https://cdn.resfu.com/img_data/estadios/original_new/5777.jpg?size=720x432c&lossy=1
Hamburger SV,Hamburger SV,9790,https://www.fotmob.com/teams/9790/overview/hamburger-sv,https://images.fotmob.com/image_resources/logo/teamlogo/9790.png,2026/2027,54,Bundesliga,GER,Volksparkstadion,Hamburg,53.587134005,9.898579717,Grass,57000,1998,https://cdn.resfu.com/img_data/estadios/original_new/292.jpg?size=720x432c&lossy=1
Hoffenheim,Hoffenheim,8226,https://www.fotmob.com/teams/8226/overview/hoffenheim,https://images.fotmob.com/image_resources/logo/teamlogo/8226.png,2026/2027,54,Bundesliga,GER,PreZero Arena,Sinsheim,49.238005290,8.887740970,Grass,30164,2009,https://cdn.resfu.com/img_data/estadios/original_new/99.jpg?size=720x432c&lossy=1
Mainz 05,Mainz,9905,https://www.fotmob.com/teams/9905/overview/mainz-05,https://images.fotmob.com/image_resources/logo/teamlogo/9905.png,2026/2027,54,Bundesliga,GER,MEWA ARENA,Mainz,49.984627000,8.224125000,Grass,34034,2011,https://cdn.resfu.com/img_data/estadios/original_new/7045.jpg?size=720x432c&lossy=1
